id;createdTime;ESQUEMA;TABLA;ID_ORIGEN;MODELO
rec0BC7PhRXUlOw1z;2020-06-22T01:17:25.000Z;telesoft;CR.PRODUCTOMOROSO CR.CUPONES;telesoft.CR.PRODUCTOMOROSO CR.CUPONES;
rec0j6QMJsKtddCUd;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_magento_salesorderpayment_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_magento_salesorderpayment_vw;
rec1gaoDvHW7G90Yv;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_aavanzada_scorepropensiondebajaapcg_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_aavanzada_scorepropensiondebajaapcg_vw;
rec1ndSC6YLmZ30ac;2020-06-22T01:17:25.000Z;core;mpropuestas-mora;core.mpropuestas-mora;
rec1vt17XHGJtKDiD;2020-06-22T01:17:25.000Z;sap;NC_REGISTRACION_LOG;sap.NC_REGISTRACION_LOG;
rec22XEi7YvRugwDA;2020-06-22T01:17:25.000Z;telesoft;CR.CONTACTO;telesoft.CR.CONTACTO;
rec2hRWo14eON3qB3;2020-06-22T01:17:25.000Z;core;mtitular-segmento;core.mtitular-segmento;
rec2kXZ7aiilISCvZ;2020-06-22T01:17:25.000Z;dwh;FAC_COBRANZAS_ABOG;dwh.FAC_COBRANZAS_ABOG;
rec2mehGPK8qO7sG6;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_aavanzada_scoreinactividadfinanciera_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_aavanzada_scoreinactividadfinanciera_vw;
rec37MKmN76WUXsIw;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_magento_vesvendorsalesorder_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_magento_vesvendorsalesorder_vw;
rec3OHIc605JUngmc;2020-06-22T01:17:25.000Z;s3raw;db_naranja_sap_raw/tb_cupones;s3raw.db_naranja_sap_raw/tb_cupones;
rec3mKXFHcbJYzoHc;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_core_tarjetaspack_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_core_tarjetaspack_vw;
rec4ZGttrJpde8ORJ;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_magento_catalogproductentity_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_magento_catalogproductentity_vw;
rec4ixRW75s6EGXv9;2020-06-22T01:17:25.000Z;s3raw;db_naranja_sap_raw/tb_viasingreso;s3raw.db_naranja_sap_raw/tb_viasingreso;
rec4tC281vDJtGpOR;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_core_comercios_daily_snapshot;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_core_comercios_daily_snapshot;
rec5RFvgZ0cPl7Bve;2020-06-22T01:17:25.000Z;sap;Pedidos_Tracking;sap.Pedidos_Tracking;
rec5S1XZsKmhSq3qU;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_aavanzada_justoparavosdigital_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_aavanzada_justoparavosdigital_vw;
rec5VGJajdBK2ZiVL;2020-06-22T01:17:25.000Z;sap;Estados;sap.Estados;
rec5XuaJEAo5S47Cy;2020-06-22T01:17:25.000Z;sap;Procesos;sap.Procesos;
rec5bSYEjp6xvkB9E;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_ar_cuentas_daily_snapshot_vw;dlanalytics.db_naranja_facts_analytics.tb_ar_cuentas_daily_snapshot_vw;
rec5hxVPHldOjIkm0;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_magento_summapaymentplanflat_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_magento_summapaymentplanflat_vw;
rec6T1cP1tQbGdpln;2020-06-22T01:17:25.000Z;s3raw;datalake-produccion-rawdata/archivo_promociones;s3raw.datalake-produccion-rawdata/archivo_promociones;
rec6ZYxbeYl0REKnv;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_ar_dimnivelriesgo_daily_snapshot_vw;dlanalytics.db_naranja_facts_analytics.tb_ar_dimnivelriesgo_daily_snapshot_vw;
rec6eNY3YkKkMrWmt;2020-06-22T01:17:25.000Z;sap;ViasIngreso;sap.ViasIngreso;
rec6tfKEcAM6MttfU;2020-06-22T01:17:25.000Z;core;MGARANTE;core.MGARANTE;
rec7DdtardZXUPDxX;2020-06-22T01:17:25.000Z;core;/usr/cobol/salto/arch/mtelefono-log;core./usr/cobol/salto/arch/mtelefono-log;
